Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.91624346736277+0i,0.320734919363572
Grow,0.5,4.20604666512367+0i,0.320734919363572
Grow,0.75,4.4958498682656+0i,0.320734919363572
Grow,0.95,4.98276163151396+0i,0.320734919363572
Shrink,0.25,4.11890922290192+0i,-0.00418138217431957
Shrink,0.5,4.34220412045089+0i,-0.00418138217431957
Shrink,0.75,4.5654986944575+0i,-0.00418138217431957
Shrink,0.95,4.94066555269585+0i,-0.00418138217431957
Delay,0.25,2.63616318762839+0i,0.475160745251055
Delay,0.5,3.08281269871121+0i,0.475160745251055
Delay,0.75,3.52946217063719+0i,0.475160745251055
Delay,0.95,4.27989754372734+0i,0.475160745251055
Heavy,0.25,3.65625761644292+0i,0.538782688441066
Heavy,0.5,3.67603056104182+0i,0.538782688441066
Heavy,0.75,3.69732939329773+0i,0.538782688441066
Heavy,0.95,3.77044056913749+0.0545232989216569i,0.538782688441066
Light,0.25,3.15423124248271+0i,0.436525307403784
Light,0.5,3.21453117150827+0i,0.436525307403784
Light,0.75,3.28433372594416+0i,0.436525307403784
Light,0.95,3.3638611880577+0.161691421360699i,0.436525307403784
Fast,0.25,3.89612660848094+0i,0.435691968708609
Fast,0.5,3.95991985605161+0i,0.435691968708609
Fast,0.75,4.03534994312896+0i,0.435691968708609
Fast,0.95,4.10406163617587+0.169701148140201i,0.435691968708609
Saturated,0.25,3.51138301450749+0i,0.922739281150094
Saturated,0.5,3.65935414417022+0i,0.922739281150094
Saturated,0.75,3.80732332613161+0i,0.922739281150094
Saturated,0.95,4.05593168355132+0i,0.922739281150094
Unsaturated,0.25,4.15729253655613+0i,0.824200358068377
Unsaturated,0.5,4.38659667795551+0i,0.824200358068377
Unsaturated,0.75,4.61589651573864+0i,0.824200358068377
Unsaturated,0.95,5.00115221333435+0i,0.824200358068377
Ripple,0.25,3.39359517900341+0i,0.789441230686823
Ripple,0.5,3.53417864957068+0i,0.789441230686823
Ripple,0.75,3.67476209504508+0i,0.789441230686823
Ripple,0.95,3.91096251692123+0i,0.789441230686823
