Condition,resp_porp,stim_val,pr2
Grow,0.25,3.30838013068405,0.621073038632258
Grow,0.5,3.54594056603792,0.621073038632258
Grow,0.75,3.78350097592459,0.621073038632258
Grow,0.95,4.18263662681696,0.621073038632258
Shrink,0.25,3.58193141984038,0.975980304230594
Shrink,0.5,3.73537430836486,0.975980304230594
Shrink,0.75,3.88881699013837,0.975980304230594
Shrink,0.95,4.14662477433732,0.975980304230594
Delay,0.25,3.61896880613423,0.874379487958246
Delay,0.5,3.85682705146683,0.874379487958246
Delay,0.75,4.09468791544169,0.874379487958246
Delay,0.95,4.49435321400753,0.874379487958246
Heavy,0.25,3.49132682927606,0.402367781109092
Heavy,0.5,3.74289815640127,0.402367781109092
Heavy,0.75,3.99446948367382,0.402367781109092
Heavy,0.95,4.41714550756674,0.402367781109092
Light,0.25,3.87174621106313,0.735411024197858
Light,0.5,3.97050817609945,0.735411024197858
Light,0.75,4.06926625086591,0.735411024197858
Light,0.95,4.23519165297096,0.735411024197858
Slow,0.25,4.28185167972,0.951078125764606
Slow,0.5,4.3604218725395,0.951078125764606
Slow,0.75,4.43899204216151,0.951078125764606
Slow,0.95,4.57100137933394,0.951078125764606
Fast,0.25,3.99016068237339,0.85484657639397
Fast,0.5,4.08411921953228,0.85484657639397
Fast,0.75,4.17807820534486,0.85484657639397
Fast,0.95,4.33594708562315,0.85484657639397
Saturated,0.25,2.66624713460438,0.600783486689437
Saturated,0.5,3.03216585921328,0.600783486689437
Saturated,0.75,3.39805317437043,0.600783486689437
Saturated,0.95,4.01277672903728,0.600783486689437
Unsaturated,0.25,2.86222265997692,0.473250387930439
Unsaturated,0.5,3.35579397456607,0.473250387930439
Unsaturated,0.75,3.84936479299754,0.473250387930439
Unsaturated,0.95,4.67863540289731,0.473250387930439
Ripple,0.25,3.30784649824898,0.926043852247459
Ripple,0.5,3.45424308538769,0.926043852247459
Ripple,0.75,3.6006396673331,0.926043852247459
Ripple,0.95,3.84660709333367,0.926043852247459
