Condition,resp_porp,stim_val,pr2
Grow,0.25,2.60048364957893+0i,0.531463570868048
Grow,0.5,2.85810834162887+0i,0.531463570868048
Grow,0.75,3.11573300958904+0i,0.531463570868048
Grow,0.95,3.54857950175226+0i,0.531463570868048
Shrink,0.25,4.04860163835002+0i,0.908453561154032
Shrink,0.5,4.17290303098723+0i,0.908453561154032
Shrink,0.75,4.29720497663553+0i,0.908453561154032
Shrink,0.95,4.50605554942768+0i,0.908453561154032
Delay,0.25,3.73187259006387+0i,0.95101960277556
Delay,0.5,3.94056788991862+0i,0.95101960277556
Delay,0.75,4.14926160917379+0i,0.95101960277556
Delay,0.95,4.49989608605662+0i,0.95101960277556
Heavy,0.25,3.60136561778702+0i,0.555464789697036
Heavy,0.5,3.69131117233642+0i,0.555464789697036
Heavy,0.75,3.78983096006221+0i,0.555464789697036
Heavy,0.95,4.01632381767033+0.246631510241159i,0.555464789697036
Light,0.25,3.75422917411168+0i,0.60099741933896
Light,0.5,3.81355180554185+0i,0.60099741933896
Light,0.75,3.87770115812178+0i,0.60099741933896
Light,0.95,4.07511327699265+0.163561464339462i,0.60099741933896
Slow,0.25,3.90281595433366+0i,0.583432889389749
Slow,0.5,4.10588390804485+0i,0.583432889389749
Slow,0.75,4.30895186010231+0i,0.583432889389749
Slow,0.95,4.65013523418695+0i,0.583432889389749
Fast,0.25,3.68417996139132+0i,0.0294818423337599
Fast,0.5,3.96754571314771+0i,0.0294818423337599
Fast,0.75,4.25091721120353+0i,0.0294818423337599
Fast,0.95,4.72707689944163+0i,0.0294818423337599
Saturated,0.25,3.48094879694943+0i,0.910439287538836
Saturated,0.5,3.62772556720774+0i,0.910439287538836
Saturated,0.75,3.7745024161976+0i,0.910439287538836
Saturated,0.95,4.02110943984473+0i,0.910439287538836
Unsaturated,0.25,3.31188311513126+0i,0.95585850314369
Unsaturated,0.5,3.51839032212951+0i,0.95585850314369
Unsaturated,0.75,3.72489762277259+0i,0.95585850314369
Unsaturated,0.95,4.07186058925319+0i,0.95585850314369
Ripple,0.25,3.55295428278494+0i,0.710014798929125
Ripple,0.5,3.81669842263266+0i,0.710014798929125
Ripple,0.75,4.08044245762526+0i,0.710014798929125
Ripple,0.95,4.52357031366546+0i,0.710014798929125
