Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.88770934768752+0i,0.823555014001173
Grow,0.5,3.92622038993458+0i,0.823555014001173
Grow,0.75,3.96473143248475+0i,0.823555014001173
Grow,0.95,4.02943552756483+0i,0.823555014001173
Shrink,0.25,3.81952113276991+0i,0.935682481544838
Shrink,0.5,3.94325567588541+0i,0.935682481544838
Shrink,0.75,4.06699019345587+0i,0.935682481544838
Shrink,0.95,4.27488201003059+0i,0.935682481544838
Delay,0.25,2.63616323218256+0i,0.360812581514249
Delay,0.5,3.08281273289463+0i,0.360812581514249
Delay,0.75,3.52946219444985+0i,0.360812581514249
Delay,0.95,4.27989755011566+0i,0.360812581514249
Heavy,0.25,3.43448827365715+0i,0.309983463488078
Heavy,0.5,3.49607677784228+0i,0.309983463488078
Heavy,0.75,3.56851959149961+0i,0.309983463488078
Heavy,0.95,3.63823655184985+0.164154459058776i,0.309983463488078
Light,0.25,4.2258608598672+0i,0.874410340292614
Light,0.5,4.32172397814363+0i,0.874410340292614
Light,0.75,4.41758711065393+0i,0.874410340292614
Light,0.95,4.57865110013874+0i,0.874410340292614
Fast,0.25,4.41361922536861+0i,0.928371909295707
Fast,0.5,4.47115594447699+0i,0.928371909295707
Fast,0.75,4.52869266989001+0i,0.928371909295707
Fast,0.95,4.62536274242227+0i,0.928371909295707
Saturated,0.25,3.36258887751666+0i,0.884952966550187
Saturated,0.5,3.5987865061403+0i,0.884952966550187
Saturated,0.75,3.83498538557992+0i,0.884952966550187
Saturated,0.95,4.23184534255215+0i,0.884952966550187
Unsaturated,0.25,4.15729253655613+0i,0.824200358068377
Unsaturated,0.5,4.38659667795551+0i,0.824200358068377
Unsaturated,0.75,4.61589651573864+0i,0.824200358068377
Unsaturated,0.95,5.00115221333435+0i,0.824200358068377
Ripple,0.25,3.11247370228945+0i,0.805506450855822
Ripple,0.5,3.36784756192223+0i,0.805506450855822
Ripple,0.75,3.62322142167731+0i,0.805506450855822
Ripple,0.95,4.05228624959935+0i,0.805506450855822
