Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.84266143298342+0i,0.693759551080799
Grow,0.5,4.07872111735786+0i,0.693759551080799
Grow,0.75,4.31478713339289+0i,0.693759551080799
Grow,0.95,4.71147204961866+0i,0.693759551080799
Shrink,0.25,3.923347863126+0i,0.876567488689243
Shrink,0.5,4.12077761421374+0i,0.876567488689243
Shrink,0.75,4.31820736444821+0i,0.876567488689243
Shrink,0.95,4.64991787666309+0i,0.876567488689243
Delay,0.25,3.56620316237711+0i,0.578178700933285
Delay,0.5,3.86233107166071+0i,0.578178700933285
Delay,0.75,4.15845111507911+0i,0.578178700933285
Delay,0.95,4.65597043892978+0i,0.578178700933285
Heavy,0.25,4.27333675154481+0i,0.986017945580523
Heavy,0.5,4.28831767247697+0i,0.986017945580523
Heavy,0.75,4.30329859705355+0i,0.986017945580523
Heavy,0.95,4.32846875389693+0i,0.986017945580523
Light,0.25,4.44867536716589+0i,0.32229551738631
Light,0.5,4.55315201941954+0i,0.32229551738631
Light,0.75,4.65763005787538+0i,0.32229551738631
Light,0.95,4.83318134251548+0i,0.32229551738631
Fast,0.25,3.8700753042861+0i,0.0431738375715759
Fast,0.5,3.93628354030759+0i,0.0431738375715759
Fast,0.75,4.03050131035199+0i,0.0431738375715759
Fast,0.95,4.02658571074775+0.166248659159417i,0.0431738375715759
Saturated,0.25,2.8454891500292+0i,0.672749383006172
Saturated,0.5,3.36579645972508+0i,0.672749383006172
Saturated,0.75,3.88610404328114+0i,0.672749383006172
Saturated,0.95,4.76029826271031+0i,0.672749383006172
Unsaturated,0.25,3.16238775416249+0i,0.886935461290924
Unsaturated,0.5,3.41879334757075+0i,0.886935461290924
Unsaturated,0.75,3.67519895528672+0i,0.886935461290924
Unsaturated,0.95,4.10599740961864+0i,0.886935461290924
Ripple,0.25,4.07690384783924+0i,0.929492945892049
Ripple,0.5,4.22724042230628+0i,0.929492945892049
Ripple,0.75,4.37757699765263+0i,0.929492945892049
Ripple,0.95,4.63016408048465+0i,0.929492945892049
