Condition,resp_porp,stim_val,pr2
Grow,0.25,3.52914127184441+0i,0.925079103642205
Grow,0.5,3.65156021191669+0i,0.925079103642205
Grow,0.75,3.77397920766325+0i,0.925079103642205
Grow,0.95,3.97966145063+0i,0.925079103642205
Shrink,0.25,3.18905472013441+0i,0.635502731047247
Shrink,0.5,3.53899720960369+0i,0.635502731047247
Shrink,0.75,3.8889409001706+0i,0.635502731047247
Shrink,0.95,4.47690803031957+0i,0.635502731047247
Delay,0.25,1.50531182521484+0i,0.768848116984567
Delay,0.5,1.85052681242172+0i,0.768848116984567
Delay,0.75,2.19574509492503+0i,0.768848116984567
Delay,0.95,2.77579310883856+0i,0.768848116984567
Heavy,0.25,3.64062914940422+0i,0.399762922054966
Heavy,0.5,3.70152454384895+0i,0.399762922054966
Heavy,0.75,3.7745147591653+0i,0.399762922054966
Heavy,0.95,3.83206151153145+0.161163184163569i,0.399762922054966
Light,0.25,3.52798055409091+0i,0.783986039393337
Light,0.5,3.73581351042607+0i,0.783986039393337
Light,0.75,3.94365675770626+0i,0.783986039393337
Light,0.95,4.29296156699144+0i,0.783986039393337
Slow,0.25,4.1394220689469+0i,0.98469745838646
Slow,0.5,4.20540649722408+0i,0.98469745838646
Slow,0.75,4.27139212252172+0i,0.98469745838646
Slow,0.95,4.38226915607167+0i,0.98469745838646
Fast,0.25,3.78508071082302+0i,0.843587905378482
Fast,0.5,3.93394333194971+0i,0.843587905378482
Fast,0.75,4.08281253169588+0i,0.843587905378482
Fast,0.95,4.33299665674509+0i,0.843587905378482
Saturated,0.25,2.42880723528071+0i,0.498884440595615
Saturated,0.5,2.75139219324773+0i,0.498884440595615
Saturated,0.75,3.07397715020254+0i,0.498884440595615
Saturated,0.95,3.61596628697911+0i,0.498884440595615
Unsaturated,0.25,2.97096750602238+0i,0.863098601086574
Unsaturated,0.5,3.23052000912385+0i,0.863098601086574
Unsaturated,0.75,3.49006938012953+0i,0.863098601086574
Unsaturated,0.95,3.92614769063425+0i,0.863098601086574
Ripple,0.25,2.4261169287129+0i,0.780390278383042
Ripple,0.5,2.6731490656699+0i,0.780390278383042
Ripple,0.75,2.92017941718284+0i,0.780390278383042
Ripple,0.95,3.33522489349615+0i,0.780390278383042
