Condition,prob,my_thresholds,Mcf_pR
Delay,0.25,3.40391821753225,0.491334203461682
Delay,0.5,3.64108757629173,0.491334203461682
Delay,0.75,3.87825693397668,0.491334203461682
Delay,0.95,4.27673558730039,0.491334203461682
Light,0.25,4.58197973344972,0.948372277385607
Light,0.5,4.61606387230155,0.948372277385607
Light,0.75,4.65014756743296,0.948372277385607
Light,0.95,4.70741288385259,0.948372277385607
Ripple,0.25,3.77619585317213,0.798301156906525
Ripple,0.5,3.8915107603453,0.798301156906525
Ripple,0.75,4.00681706684887,0.798301156906525
Ripple,0.95,4.20054283781397,0.798301156906525
