Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.52276261901923+0i,0.819656184750359
Grow,0.5,3.54314851807712+0i,0.819656184750359
Grow,0.75,3.56353433036695+0i,0.819656184750359
Grow,0.95,3.59778594692858+0i,0.819656184750359
Shrink,0.25,2.66951987930029+0i,0.630481092637007
Shrink,0.5,2.79168882858178+0i,0.630481092637007
Shrink,0.75,2.92402924305029+0i,0.630481092637007
Shrink,0.95,3.31088714407102+0.336582901946323i,0.630481092637007
Delay,0.25,2.44448989506817+0i,0.871986723693168
Delay,0.5,2.4895115148432+0i,0.871986723693168
Delay,0.75,2.5345331198781+0i,0.871986723693168
Delay,0.95,2.61017606118464+0i,0.871986723693168
Heavy,0.25,3.65621144671686+0i,0.999956698376687
Heavy,0.5,3.67250386200513+0i,0.999956698376687
Heavy,0.75,3.68879510926865+0i,0.999956698376687
Heavy,0.95,3.71616601467385+0i,0.999956698376687
Light,0.25,3.13915313465885+0i,0.915043878853388
Light,0.5,3.23542935664227+0i,0.915043878853388
Light,0.75,3.33170553226148+0i,0.915043878853388
Light,0.95,3.49346337307598+0i,0.915043878853388
Fast,0.25,3.45580314983215+0i,0.557536618692753
Fast,0.5,3.58267746199861+0i,0.557536618692753
Fast,0.75,3.70955171119149+0i,0.557536618692753
Fast,0.95,3.92271873910597+0i,0.557536618692753
Saturated,0.25,3.3176440457264+0i,0.878053594347599
Saturated,0.5,3.67131666276324+0i,0.878053594347599
Saturated,0.75,4.02499020402922+0i,0.878053594347599
Saturated,0.95,4.61922139675989+0i,0.878053594347599
Unsaturated,0.25,4.13879987322561+0i,0.902123957506847
Unsaturated,0.5,4.28767933238331+0i,0.902123957506847
Unsaturated,0.75,4.43656501117861+0i,0.902123957506847
Unsaturated,0.95,4.68677364305509+0i,0.902123957506847
Ripple,0.25,3.01535522947247+0i,0.497492464438815
Ripple,0.5,3.20612643714957+0i,0.497492464438815
Ripple,0.75,3.39689763579415+0i,0.497492464438815
Ripple,0.95,3.71742069067927+0i,0.497492464438815
