Condition,resp_porp,stim_val,pr2
Grow,0.25,1.53519202204339,0.651431062273067
Grow,0.5,1.85583249518108,0.651431062273067
Grow,0.75,2.17647297006242,0.651431062273067
Grow,0.95,2.71519519586741,0.651431062273067
Shrink,0.25,0.939579785799028,0.323104201423484
Shrink,0.5,1.61175131370662,0.323104201423484
Shrink,0.75,2.28393820209948,0.323104201423484
Shrink,0.95,3.41345455328057,0.323104201423484
Delay,0.25,2.49824944110328,0.942499664430846
Delay,0.5,2.63684824101935,0.942499664430846
Delay,0.75,2.77544040177461,0.942499664430846
Delay,0.95,3.00829669136278,0.942499664430846
Heavy,0.25,2.51239125737676,0.536250529335566
Heavy,0.5,2.56844633733692,0.536250529335566
Heavy,0.75,2.62763837565102,0.536250529335566
Heavy,0.95,2.79260292131284,0.536250529335566
Light,0.25,3.16789518507153,0.371044804951268
Light,0.5,3.40876715353957,0.371044804951268
Light,0.75,3.64963894511954,0.371044804951268
Light,0.95,4.05433809987109,0.371044804951268
Slow,0.25,2.81339233867127,0.499042439078101
Slow,0.5,3.00933499000291,0.499042439078101
Slow,0.75,3.20527763727888,0.499042439078101
Slow,0.95,3.53448947364945,0.499042439078101
Fast,0.25,2.7907543220079,0.625648430504456
Fast,0.5,2.84739988590542,0.625648430504456
Fast,0.75,2.90748056360046,0.625648430504456
Fast,0.95,3.09132408338776,0.625648430504456
Saturated,0.25,2.42134270793399,0.884917435800275
Saturated,0.5,2.66831640281438,0.884917435800275
Saturated,0.75,2.91529009839373,0.884917435800275
Saturated,0.95,3.33024145180167,0.884917435800275
Unsaturated,0.25,2.97096750602238,0.863098601086574
Unsaturated,0.5,3.23052000912385,0.863098601086574
Unsaturated,0.75,3.49006938012953,0.863098601086574
Unsaturated,0.95,3.92614769063425,0.863098601086574
Ripple,0.25,2.40985409846107,0.831083931811864
Ripple,0.5,2.7041471811564,0.831083931811864
Ripple,0.75,2.99844026441437,0.831083931811864
Ripple,0.95,3.49289499861954,0.831083931811864
