Condition,resp_porp,stim_val,pr2
Grow,0.25,2.84705684315837,0.940765802627637
Grow,0.5,2.9653786434483,0.940765802627637
Grow,0.75,3.0837015360076,0.940765802627637
Grow,0.95,3.28251138829306,0.940765802627637
Shrink,0.25,2.62112704627311,0.90383856210757
Shrink,0.5,2.90214145696544,0.90383856210757
Shrink,0.75,3.18315004381116,0.90383856210757
Shrink,0.95,3.65528123030429,0.90383856210757
Delay,0.25,1.70528159709919,0.956968226263105
Delay,0.5,1.82913095171241,0.956968226263105
Delay,0.75,1.95298029389523,0.956968226263105
Delay,0.95,2.16106500724599,0.956968226263105
Heavy,0.25,3.83103218588997,0.871573605915103
Heavy,0.5,3.92467013994015,0.871573605915103
Heavy,0.75,4.01830809750299,0.871573605915103
Heavy,0.95,4.17563341429722,0.871573605915103
Light,0.25,3.22439271476434,0.596247997171427
Light,0.5,3.41439150114337,0.596247997171427
Light,0.75,3.60439028617406,0.596247997171427
Light,0.95,3.92361557836154,0.596247997171427
Slow,0.25,3.60700519748079,0.817923839638705
Slow,0.5,3.75073412747863,0.817923839638705
Slow,0.75,3.89446309836911,0.817923839638705
Slow,0.95,4.13594925034468,0.817923839638705
Fast,0.25,3.62263115572431,0.946564343647
Fast,0.5,3.67924045750368,0.946564343647
Fast,0.75,3.73584975785452,0.946564343647
Fast,0.95,3.83096169439983,0.946564343647
Saturated,0.25,2.29715843928797,0.944335171300192
Saturated,0.5,2.43473827062206,0.944335171300192
Saturated,0.75,2.57232336708053,0.944335171300192
Saturated,0.95,2.80353608987221,0.944335171300192
Unsaturated,0.25,3.67532134916504,0.922194794588282
Unsaturated,0.5,3.89867533920594,0.922194794588282
Unsaturated,0.75,4.12202670591587,0.922194794588282
Unsaturated,0.95,4.49728752241598,0.922194794588282
Ripple,0.25,2.34462519804407,0.723012758141741
Ripple,0.5,2.61470485333431,0.723012758141741
Ripple,0.75,2.88478452647328,0.723012758141741
Ripple,0.95,3.33855740569287,0.723012758141741
