Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.0929701209673+0i,0.573197295426919
Grow,0.5,3.22155866169502+0i,0.573197295426919
Grow,0.75,3.36225731412468+0i,0.573197295426919
Grow,0.95,3.69191032340943+0.352748217809058i,0.573197295426919
Shrink,0.25,3.97295117863931+0i,0.853075688129975
Shrink,0.5,4.24739496787943+0i,0.853075688129975
Shrink,0.75,4.52183857822673+0i,0.853075688129975
Shrink,0.95,4.98294325290004+0i,0.853075688129975
Delay,0.25,3.71942191481563+0i,0.999997860750071
Delay,0.5,3.75417567930695+0i,0.999997860750071
Delay,0.75,3.78892944300309+0i,0.999997860750071
Delay,0.95,3.84732076522877+0i,0.999997860750071
Heavy,0.25,4.45904030840596+0i,0.953326702989255
Heavy,0.5,4.47759576105088+0i,0.953326702989255
Heavy,0.75,4.49615116891037+0i,0.953326702989255
Heavy,0.95,4.52732694211927+0i,0.953326702989255
Light,0.25,3.97405702251386+0i,0.999996622285713
Light,0.5,3.98571690315791+0i,0.999996622285713
Light,0.75,3.99737679313836+0i,0.999996622285713
Light,0.95,4.01696736465612+0i,0.999996622285713
Fast,0.25,2.83510319702864+0i,0.520161077496011
Fast,0.5,3.12574152508994+0i,0.520161077496011
Fast,0.75,3.41636610908669+0i,0.520161077496011
Fast,0.95,3.90465089959992+0i,0.520161077496011
Saturated,0.25,3.77988203839859+0i,0.876699541124641
Saturated,0.5,4.0185086663693+0i,0.876699541124641
Saturated,0.75,4.25712880372421+0i,0.876699541124641
Saturated,0.95,4.65804094751131+0i,0.876699541124641
Unsaturated,0.25,3.92125244696422+0i,0.362946449406656
Unsaturated,0.5,4.31852949387646+0i,0.362946449406656
Unsaturated,0.75,4.71580654817319+0i,0.362946449406656
Unsaturated,0.95,5.38328925786552+0i,0.362946449406656
Ripple,0.25,4.07690384783924+0i,0.929492945892049
Ripple,0.5,4.22724042230628+0i,0.929492945892049
Ripple,0.75,4.37757699765263+0i,0.929492945892049
Ripple,0.95,4.63016408048465+0i,0.929492945892049
