Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.19119583595936,0.882053268046811
Grow,0.5,3.36060421178603,0.882053268046811
Grow,0.75,3.53001271587044,0.882053268046811
Grow,0.95,3.81464517200958,0.882053268046811
Shrink,0.25,2.9732508855715,0.739815396964043
Shrink,0.5,3.27389509287371,0.739815396964043
Shrink,0.75,3.57453887208155,0.739815396964043
Shrink,0.95,4.07966340801669,0.739815396964043
Delay,0.25,2.25575082286474,0.347932340293903
Delay,0.5,2.78084153097108,0.347932340293903
Delay,0.75,3.30593589334753,0.347932340293903
Delay,0.95,4.18820461347564,0.347932340293903
Heavy,0.25,3.28233829126376,0.33636412445795
Heavy,0.5,3.56182343642211,0.33636412445795
Heavy,0.75,3.84130848833429,0.33636412445795
Heavy,0.95,4.31088360405267,0.33636412445795
Light,0.25,3.87179706582434,0.603724037331914
Light,0.5,3.97082461825264,0.603724037331914
Light,0.75,4.06985222874985,0.603724037331914
Light,0.95,4.23623342891953,0.603724037331914
Fast,0.25,3.95787371814548,0.931816749487581
Fast,0.5,4.01451735744988,0.931816749487581
Fast,0.75,4.07116038357319,0.931816749487581
Fast,0.95,4.16632856239227,0.931816749487581
Saturated,0.25,3.59030905455796,0.689534704577058
Saturated,0.5,3.87628506047069,0.689534704577058
Saturated,0.75,4.16226078211766,0.689534704577058
Saturated,0.95,4.64274096082017,0.689534704577058
Unsaturated,0.25,4.39330597420765,0.930155587457137
Unsaturated,0.5,4.52432478743121,0.930155587457137
Unsaturated,0.75,4.65534453753453,0.930155587457137
Unsaturated,0.95,4.87548553202024,0.930155587457137
Ripple,0.25,1.75461737145271,0.507423089392157
Ripple,0.5,2.21394071172684,0.507423089392157
Ripple,0.75,2.67326408211516,0.507423089392157
Ripple,0.95,3.44499421535908,0.507423089392157
