Condition,resp_porp,stim_val,pr2
Grow,0.25,0.986705266374378+0i,0.801279951317931
Grow,0.5,1.18270305246666+0i,0.801279951317931
Grow,0.75,1.37870082618525+0i,0.801279951317931
Grow,0.95,1.70800528069312+0i,0.801279951317931
Shrink,0.25,2.69997832636216+0i,0.954166313715943
Shrink,0.5,2.82016075825495+0i,0.954166313715943
Shrink,0.75,2.94034317963608+0i,0.954166313715943
Shrink,0.95,3.14226703082018+0i,0.954166313715943
Delay,0.25,1.21236155309937+0i,0.777396718342661
Delay,0.5,1.46094773007021+0i,0.777396718342661
Delay,0.75,1.70952809672901+0i,0.777396718342661
Delay,0.95,2.12717582315997+0i,0.777396718342661
Heavy,0.25,3.61199537032857+0i,0.895337831032025
Heavy,0.5,3.70895954141818+0i,0.895337831032025
Heavy,0.75,3.80592370985793+0i,0.895337831032025
Heavy,0.95,3.96883746540545+0i,0.895337831032025
Light,0.25,2.0718563797944+0i,0.476125117913088
Light,0.5,2.52182455219875+0i,0.476125117913088
Light,0.75,2.97179253749153+0i,0.476125117913088
Light,0.95,3.72780344391483+0i,0.476125117913088
Slow,0.25,4.0010922399952+0i,0.495279802848997
Slow,0.5,4.05809593709447+0i,0.495279802848997
Slow,0.75,4.12076150759099+0i,0.495279802848997
Slow,0.95,4.25615295985808+0.156063894791093i,0.495279802848997
Fast,0.25,2.9002615905491+0i,0.442349315623524
Fast,0.5,2.95754958385621+0i,0.442349315623524
Fast,0.75,3.02238663426034+0i,0.442349315623524
Fast,0.95,3.11724742859562+0.154979945449973i,0.442349315623524
Saturated,0.25,0.795081156325727+0i,0.597650347865429
Saturated,0.5,1.15986161423699+0i,0.597650347865429
Saturated,0.75,1.52462354360725+0i,0.597650347865429
Saturated,0.95,2.13746440038205+0i,0.597650347865429
Unsaturated,0.25,0.797666036484177+0i,0.378519141942173
Unsaturated,0.5,1.489111809107+0i,0.378519141942173
Unsaturated,0.75,2.18055758219923+0i,0.378519141942173
Unsaturated,0.95,3.34228596827649+0i,0.378519141942173
Ripple,0.25,2.54045502704551+0i,0.843603648691328
Ripple,0.5,2.78658035574929+0i,0.843603648691328
Ripple,0.75,3.03270570964624+0i,0.843603648691328
Ripple,0.95,3.44623195098995+0i,0.843603648691328
