Condition,resp_porp,stim_val,pr2
Grow,0.25,1.95944421949788+0i,0.50800915510948
Grow,0.5,2.072671736995+0i,0.50800915510948
Grow,0.75,2.19424768683995+0i,0.50800915510948
Grow,0.95,2.72954399524934+0.313153390866871i,0.50800915510948
Shrink,0.25,3.03590053408372+0i,0.949511968570379
Shrink,0.5,3.15877866400707+0i,0.949511968570379
Shrink,0.75,3.28165335051638+0i,0.949511968570379
Shrink,0.95,3.48809845703167+0i,0.949511968570379
Delay,0.25,2.20356983800788+0i,0.530156514454519
Delay,0.5,2.51058635899533+0i,0.530156514454519
Delay,0.75,2.81760503961232+0i,0.530156514454519
Delay,0.95,3.33346106625815+0i,0.530156514454519
Heavy,0.25,4.36671862314955+0i,0.544816564338197
Heavy,0.5,4.45956358112709+0i,0.544816564338197
Heavy,0.75,4.55240854134643+0i,0.544816564338197
Heavy,0.95,4.70840146857657+0i,0.544816564338197
Light,0.25,3.96181840694107+0i,0.961164754230769
Light,0.5,4.03985092690793+0i,0.961164754230769
Light,0.75,4.11788386365161+0i,0.961164754230769
Light,0.95,4.2489944031211+0i,0.961164754230769
Slow,0.25,4.1145655645248+0i,0.914264657820495
Slow,0.5,4.17072805608837+0i,0.914264657820495
Slow,0.75,4.22688801527634+0i,0.914264657820495
Slow,0.95,4.32124331272449+0i,0.914264657820495
Fast,0.25,4.35650435222908+0i,0.908681501457238
Fast,0.5,4.4132865239279+0i,0.908681501457238
Fast,0.75,4.4700686999674+0i,0.908681501457238
Fast,0.95,4.56547108582281+0i,0.908681501457238
Saturated,0.25,2.22993957057229+0i,0.485030948154276
Saturated,0.5,2.75120442886728+0i,0.485030948154276
Saturated,0.75,3.272469291371+0i,0.485030948154276
Saturated,0.95,4.14826933992913+0i,0.485030948154276
Unsaturated,0.25,3.36389189598855+0i,0.984766900636518
Unsaturated,0.5,3.53464747379968+0i,0.984766900636518
Unsaturated,0.75,3.70540304825914+0i,0.984766900636518
Unsaturated,0.95,3.99229698061454+0i,0.984766900636518
Ripple,0.25,3.19617196131608+0i,0.950234965695816
Ripple,0.5,3.34447726626379+0i,0.950234965695816
Ripple,0.75,3.49277855376375+0i,0.950234965695816
Ripple,0.95,3.74194354177159+0i,0.950234965695816
