Condition,resp_porp,stim_val,pr2
Grow,0.25,2.76111982299817,0.674872816747567
Grow,0.5,3.19979640641938,0.674872816747567
Grow,0.75,3.6384729638294,0.674872816747567
Grow,0.95,4.3755127290481,0.674872816747567
Shrink,0.25,3.0961120928841,0.961183422345292
Shrink,0.5,3.21902163366752,0.961183422345292
Shrink,0.75,3.34193133715512,0.961183422345292
Shrink,0.95,3.54843930894357,0.961183422345292
Delay,0.25,3.82063269412744,0.98959568569208
Delay,0.5,3.97948895633109,0.98959568569208
Delay,0.75,4.13834522313975,0.98959568569208
Delay,0.95,4.40524665036284,0.98959568569208
Heavy,0.25,3.18220765970333,0.592106260340534
Heavy,0.5,3.35350230967794,0.592106260340534
Heavy,0.75,3.52479713484082,0.592106260340534
Heavy,0.95,3.81259874475296,0.592106260340534
Light,0.25,3.34630543452877,0.929678095900503
Light,0.5,3.43475570656334,0.929678095900503
Light,0.75,3.52320556306816,0.929678095900503
Light,0.95,3.67181379607201,0.929678095900503
Slow,0.25,3.83103218588997,0.871573605915103
Slow,0.5,3.92467013994015,0.871573605915103
Slow,0.75,4.01830809750299,0.871573605915103
Slow,0.95,4.17563341429722,0.871573605915103
Fast,0.25,4.14088072480875,0.387121546157676
Fast,0.5,4.26074148738538,0.387121546157676
Fast,0.75,4.3806020858176,0.387121546157676
Fast,0.95,4.58198504072698,0.387121546157676
Saturated,0.25,2.71327380840591,0.781321352427915
Saturated,0.5,2.98212011364509,0.781321352427915
Saturated,0.75,3.25096642779367,0.781321352427915
Saturated,0.95,3.70266700599203,0.781321352427915
Unsaturated,0.25,2.85884806183584,0.79713576694775
Unsaturated,0.5,3.25674945143888,0.79713576694775
Unsaturated,0.75,3.65465208669905,0.79713576694775
Unsaturated,0.95,4.32319756710363,0.79713576694775
Ripple,0.25,3.36389189598855,0.984766900636518
Ripple,0.5,3.53464747379968,0.984766900636518
Ripple,0.75,3.70540304825914,0.984766900636518
Ripple,0.95,3.99229698061454,0.984766900636518
