Condition,resp_porp,stim_val,pr2
Grow,0.25,1.53519202204339,0.651431062273067
Grow,0.5,1.85583249518108,0.651431062273067
Grow,0.75,2.17647297006242,0.651431062273067
Grow,0.95,2.71519519586741,0.651431062273067
Shrink,0.25,3.09315515433923,0.955465844776447
Shrink,0.5,3.21533960023738,0.955465844776447
Shrink,0.75,3.3375069554011,0.955465844776447
Shrink,0.95,3.54275496861388,0.955465844776447
Delay,0.25,2.11086979045506,0.949065131658389
Delay,0.5,2.24258838633451,0.949065131658389
Delay,0.75,2.3743059131792,0.949065131658389
Delay,0.95,2.59560964220008,0.949065131658389
Heavy,0.25,4.15786748144339,0.925055711382047
Heavy,0.5,4.23965288085655,0.925055711382047
Heavy,0.75,4.32143827452895,0.925055711382047
Heavy,0.95,4.45884950614118,0.925055711382047
Light,0.25,3.04172570775328,0.924391834717196
Light,0.5,3.14005553171064,0.924391834717196
Light,0.75,3.23836062419362,0.924391834717196
Light,0.95,3.40351177796892,0.924391834717196
Slow,0.25,3.59489143187112,0.30872524614803
Slow,0.5,3.81162192242326,0.30872524614803
Slow,0.75,4.02835246295923,0.30872524614803
Slow,0.95,4.39249147041628,0.30872524614803
Fast,0.25,4.03877117974436,0.572301040928232
Fast,0.5,4.1645146146356,0.572301040928232
Fast,0.75,4.29025805293531,0.572301040928232
Fast,0.95,4.50152515182785,0.572301040928232
Saturated,0.25,1.96644084605869,0.465904538531219
Saturated,0.5,2.57838604704299,0.465904538531219
Saturated,0.75,3.19033074209595,0.465904538531219
Saturated,0.95,4.21848561085684,0.465904538531219
Unsaturated,0.25,2.82745980297313,0.772081359781002
Unsaturated,0.5,3.13984073815259,0.772081359781002
Unsaturated,0.75,3.45224100689233,0.772081359781002
Unsaturated,0.95,3.97730597917911,0.772081359781002
Ripple,0.25,3.24239938378163,0.949985152046066
Ripple,0.5,3.38998363008758,0.949985152046066
Ripple,0.75,3.53756778619152,0.949985152046066
Ripple,0.95,3.78553086566347,0.949985152046066
