Condition,prob,my_thresholds,Mcf_pR
Delay,0.25,4.53477283196761,0.94070525445019
Delay,0.5,4.62795344480402,0.94070525445019
Delay,0.75,4.72113407176028,0.94070525445019
Delay,0.95,4.87769107192576,0.94070525445019
Light,0.25,4.44297051995745,0.898658776874741
Light,0.5,4.47891542051174,0.898658776874741
Light,0.75,4.51485978171216,0.898658776874741
Light,0.95,4.57525114986552,0.898658776874741
Ripple,0.25,4.01199904472477,0.876212300645875
Ripple,0.5,4.03786435877737,0.876212300645875
Ripple,0.75,4.06372967596791,0.876212300645875
Ripple,0.95,4.10718715969383,0.876212300645875
