Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.37479265497609,0.65693643427338
Grow,0.5,3.60190409190906,0.65693643427338
Grow,0.75,3.82901516791567,0.65693643427338
Grow,0.95,4.21059426769563,0.65693643427338
Shrink,0.25,4.16625549176609,0.925527229560933
Shrink,0.5,4.29157325555465,0.925527229560933
Shrink,0.75,4.4168909193293,0.925527229560933
Shrink,0.95,4.6274425711852,0.925527229560933
Delay,0.25,3.10424233668946,0.358117796604293
Delay,0.5,3.46311474809771,0.358117796604293
Delay,0.75,3.8219872323681,0.358117796604293
Delay,0.95,4.42494630353493,0.358117796604293
Heavy,0.25,4.37724372773996,0.933987226593404
Heavy,0.5,4.4349318546354,0.933987226593404
Heavy,0.75,4.49261948365095,0.933987226593404
Heavy,0.95,4.58954285183458,0.933987226593404
Light,0.25,4.29899730819403,0.876394001048444
Light,0.5,4.38964600655797,0.876394001048444
Light,0.75,4.4802948159317,0.876394001048444
Light,0.95,4.63259892919132,0.876394001048444
Fast,0.25,4.21622242329974,0.940060727645956
Fast,0.5,4.27388842145204,0.940060727645956
Fast,0.75,4.3315550044237,0.940060727645956
Fast,0.95,4.42844873417912,0.940060727645956
Saturated,0.25,2.73870073221441,0.739048234299282
Saturated,0.5,3.1559803720388,0.739048234299282
Saturated,0.75,3.57329837104485,0.739048234299282
Saturated,0.95,4.27481663320115,0.739048234299282
Unsaturated,0.25,3.30187695421044,0.916666391343486
Unsaturated,0.5,3.44696825483748,0.916666391343486
Unsaturated,0.75,3.59205711490296,0.916666391343486
Unsaturated,0.95,3.83582589876165,0.916666391343486
Ripple,0.25,2.40692325997207,0.471975554207586
Ripple,0.5,2.77411001964401,0.471975554207586
Ripple,0.75,3.1412967765333,0.471975554207586
Ripple,0.95,3.7582233567081,0.471975554207586
