Condition,resp_porp,stim_val,pr2
Grow,0.25,3.13425034105254+0i,0.771368667800367
Grow,0.5,3.38078208644659+0i,0.771368667800367
Grow,0.75,3.62730128515255+0i,0.771368667800367
Grow,0.95,4.04148152037848+0i,0.771368667800367
Shrink,0.25,3.52308611726725+0i,0.916255424637922
Shrink,0.5,3.64407211403019+0i,0.916255424637922
Shrink,0.75,3.76505809256587+0i,0.916255424637922
Shrink,0.95,3.96833201569138+0i,0.916255424637922
Delay,0.25,3.11209582756794+0i,0.554155187804765
Delay,0.5,3.4600109903456+0i,0.554155187804765
Delay,0.75,3.80792615646753+0i,0.554155187804765
Delay,0.95,4.39247372807729+0i,0.554155187804765
Heavy,0.25,3.51126411867688+0i,0.474315641851743
Heavy,0.5,3.56793557881403+0i,0.474315641851743
Heavy,0.75,3.628800850089+0i,0.474315641851743
Heavy,0.95,3.89034251101325+0.156718870622416i,0.474315641851743
Light,0.25,3.99753051148781+0i,0.611615370434864
Light,0.5,4.17935056005657+0i,0.611615370434864
Light,0.75,4.36118365752432+0i,0.611615370434864
Light,0.95,4.66681327155049+0i,0.611615370434864
Slow,0.25,4.09123048184827+0i,0.743349192666211
Slow,0.5,4.23146422454485+0i,0.743349192666211
Slow,0.75,4.37169806952065+0i,0.743349192666211
Slow,0.95,4.60731220161963+0i,0.743349192666211
Fast,0.25,3.97915539278416+0i,0.891770238799623
Fast,0.5,4.11751898544195+0i,0.891770238799623
Fast,0.75,4.25588257557969+0i,0.891770238799623
Fast,0.95,4.48835332137679+0i,0.891770238799623
Saturated,0.25,3.61386827452681+0i,0.944307614205705
Saturated,0.5,3.76228916423513+0i,0.944307614205705
Saturated,0.75,3.91070528994374+0i,0.944307614205705
Saturated,0.95,4.16006274526631+0i,0.944307614205705
Unsaturated,0.25,3.96057413048471+0i,0.926892924886791
Unsaturated,0.5,4.11101175588086+0i,0.926892924886791
Unsaturated,0.75,4.26144934752979+0i,0.926892924886791
Unsaturated,0.95,4.51420672655442+0i,0.926892924886791
Ripple,0.25,3.51139930764236+0i,0.922831533744781
Ripple,0.5,3.65930511202119+0i,0.922831533744781
Ripple,0.75,3.80720965463864+0i,0.922831533744781
Ripple,0.95,4.05570978968553+0i,0.922831533744781
