Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.6175011031387+0i,0.818686549245095
Grow,0.5,3.79545280722567+0i,0.818686549245095
Grow,0.75,3.97340502984932+0i,0.818686549245095
Grow,0.95,4.27239528925807+0i,0.818686549245095
Shrink,0.25,3.19274952301678+0i,0.961187002379188
Shrink,0.5,3.36083223423356+0i,0.961187002379188
Shrink,0.75,3.52891493125707+0i,0.961187002379188
Shrink,0.95,3.81131804681742+0i,0.961187002379188
Delay,0.25,4.49224111981158+0i,0.945443995261761
Delay,0.5,4.63305442865909+0i,0.945443995261761
Delay,0.75,4.7738733068223+0i,0.945443995261761
Delay,0.95,5.01052210705928+0i,0.945443995261761
Heavy,0.25,4.42424850331018+0i,0.979777523889079
Heavy,0.5,4.44621139510553+0i,0.979777523889079
Heavy,0.75,4.46817428976303+0i,0.979777523889079
Heavy,0.95,4.50507515910053+0i,0.979777523889079
Light,0.25,4.09327319600696+0i,0.434266849727801
Light,0.5,4.25250455111869+0i,0.434266849727801
Light,0.75,4.41173589306836+0i,0.434266849727801
Light,0.95,4.67926744926042+0i,0.434266849727801
Fast,0.25,4.35449517937901+0i,0.620577712979111
Fast,0.5,4.41482370887753+0i,0.620577712979111
Fast,0.75,4.48000814468543+0i,0.620577712979111
Fast,0.95,4.68590561689965+0.1663932728583i,0.620577712979111
Saturated,0.25,3.30921014675244+0i,0.774474346399732
Saturated,0.5,3.65185748328051+0i,0.774474346399732
Saturated,0.75,3.99449549622731+0i,0.774474346399732
Saturated,0.95,4.5701707828285+0i,0.774474346399732
Unsaturated,0.25,3.77988201609748+0i,0.876699526413191
Unsaturated,0.5,4.01850864884504+0i,0.876699526413191
Unsaturated,0.75,4.25712879097667+0i,0.876699526413191
Unsaturated,0.95,4.65804094278926+0i,0.876699526413191
Ripple,0.25,3.51156057929344+0i,0.922710743141001
Ripple,0.5,3.65955015655596+0i,0.922710743141001
Ripple,0.75,3.80753828470124+0i,0.922710743141001
Ripple,0.95,4.05617871781046+0i,0.922710743141001
