Condition,resp_porp,stim_val,pr2
Grow,0.25,1.06349741125809,0.629484860347582
Grow,0.5,1.70919822944559,0.629484860347582
Grow,0.75,2.35489442049504,0.629484860347582
Grow,0.95,3.43975400224314,0.629484860347582
Shrink,0.25,2.84705684315837,0.940765802627637
Shrink,0.5,2.9653786434483,0.940765802627637
Shrink,0.75,3.0837015360076,0.940765802627637
Shrink,0.95,3.28251138829306,0.940765802627637
Delay,0.25,2.45052150667733,0.946246600442317
Delay,0.5,2.59045124531615,0.946246600442317
Delay,0.75,2.73037478904251,0.946246600442317
Delay,0.95,2.96546258585627,0.946246600442317
Heavy,0.25,1.95187428831066,0.372836637070324
Heavy,0.5,2.3528227236685,0.372836637070324
Heavy,0.75,2.75377140559166,0.372836637070324
Heavy,0.95,3.42742520932746,0.372836637070324
Light,0.25,3.25646647641731,0.961392519315153
Light,0.5,3.31289303682248,0.961392519315153
Light,0.75,3.36931960941665,0.961392519315153
Light,0.95,3.46412448806151,0.961392519315153
Slow,0.25,3.20681783456717,0.519164474031749
Slow,0.5,3.2636493938368,0.519164474031749
Slow,0.75,3.32450409865145,0.519164474031749
Slow,0.95,3.63135771361228,0.519164474031749
Fast,0.25,4.21957067061741,0.941658887875015
Fast,0.5,4.27654876706209,0.941658887875015
Fast,0.75,4.33352687494692,0.941658887875015
Fast,0.95,4.42925849175774,0.941658887875015
Saturated,0.25,3.18949039162073,0.945625642809099
Saturated,0.5,3.33893322495359,0.945625642809099
Saturated,0.75,3.48837630689669,0.945625642809099
Saturated,0.95,3.73946459117696,0.945625642809099
Unsaturated,0.25,3.09664793454039,0.932533415970077
Unsaturated,0.5,3.2423097238859,0.932533415970077
Unsaturated,0.75,3.38797153152055,0.932533415970077
Unsaturated,0.95,3.63270450579738,0.932533415970077
Ripple,0.25,2.6828150086552,0.442904674094762
Ripple,0.5,2.99059735547554,0.442904674094762
Ripple,0.75,3.29838061252393,0.442904674094762
Ripple,0.95,3.8155113621193,0.442904674094762
