Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.59989780797827,0.669231831056001
Grow,0.5,3.80484602109526,0.669231831056001
Grow,0.75,4.00979438607169,0.669231831056001
Grow,0.95,4.35413940671254,0.669231831056001
Shrink,0.25,3.85543559633232,0.878038794151143
Shrink,0.5,4.06234820782374,0.878038794151143
Shrink,0.75,4.2692608162322,0.878038794151143
Shrink,0.95,4.61690377697427,0.878038794151143
Delay,0.25,2.03622775148654,0.895308391669104
Delay,0.5,2.27538037862382,0.895308391669104
Delay,0.75,2.51453300566678,0.895308391669104
Delay,0.95,2.91634384928801,0.895308391669104
Heavy,0.25,3.9580445529037,0.999766888924168
Heavy,0.5,3.97407583326601,0.999766888924168
Heavy,0.75,3.99011048384841,0.999766888924168
Heavy,0.95,4.01708313895288,0.999766888924168
Light,0.25,4.38937931358643,0.730857992411398
Light,0.5,4.46987933553584,0.730857992411398
Light,0.75,4.55037935735011,0.730857992411398
Light,0.95,4.68563102405514,0.730857992411398
Fast,0.25,3.72343096759221,0.63254921581973
Fast,0.5,3.93947918154696,0.63254921581973
Fast,0.75,4.15552739699224,0.63254921581973
Fast,0.95,4.51851965960371,0.63254921581973
Saturated,0.25,3.75041428046739,0.900781296317563
Saturated,0.5,3.89552556761016,0.900781296317563
Saturated,0.75,4.04063667834948,0.900781296317563
Saturated,0.95,4.28444426326025,0.900781296317563
Unsaturated,0.25,3.83038052093503,0.917933971724583
Unsaturated,0.5,4.04864767502608,0.917933971724583
Unsaturated,0.75,4.26691482679179,0.917933971724583
Unsaturated,0.95,4.63363507706108,0.917933971724583
Ripple,0.25,3.14818583422655,0.475899592862791
Ripple,0.5,3.38536276441691,0.475899592862791
Ripple,0.75,3.62254081190688,0.475899592862791
Ripple,0.95,4.02104520935509,0.475899592862791
