Condition,resp_porp,stim_val,pr2
Grow,0.25,3.27748667556582+0i,0.507110858728914
Grow,0.5,3.4000376446071+0i,0.507110858728914
Grow,0.75,3.53358494323637+0i,0.507110858728914
Grow,0.95,3.87235172455449+0.336770535854121i,0.507110858728914
Shrink,0.25,3.19045698204705+0i,0.764205888749968
Shrink,0.5,3.42010214975883+0i,0.764205888749968
Shrink,0.75,3.64974731454201+0i,0.764205888749968
Shrink,0.95,4.03558423046945+0i,0.764205888749968
Delay,0.25,3.47005468907735+0i,0.684178422507263
Delay,0.5,3.81496388614944+0i,0.684178422507263
Delay,0.75,4.15987308290927+0i,0.684178422507263
Delay,0.95,4.73937015205636+0i,0.684178422507263
Heavy,0.25,3.64008775038294+0i,0.943359475843149
Heavy,0.5,3.69609157735795+0i,0.943359475843149
Heavy,0.75,3.75209639472856+0i,0.943359475843149
Heavy,0.95,3.84620193772603+0i,0.943359475843149
Light,0.25,4.1515366427455+0i,0.790587502551505
Light,0.5,4.20513144264811+0i,0.790587502551505
Light,0.75,4.25872628917939+0i,0.790587502551505
Light,0.95,4.34877390171538+0i,0.790587502551505
Slow,0.25,4.31352305630873+0i,0.902287719349962
Slow,0.5,4.43399926302834+0i,0.902287719349962
Slow,0.75,4.55447569908073+0i,0.902287719349962
Slow,0.95,4.75689566137863+0i,0.902287719349962
Fast,0.25,4.33677126757466+0i,0.720767535762475
Fast,0.5,4.43386641788034+0i,0.720767535762475
Fast,0.75,4.5309615565576+0i,0.720767535762475
Fast,0.95,4.69409550139832+0i,0.720767535762475
Saturated,0.25,3.65632849979642+0i,0.936469824844314
Saturated,0.5,3.80476566859708+0i,0.936469824844314
Saturated,0.75,3.95320286349116+0i,0.936469824844314
Saturated,0.95,4.20259925344722+0i,0.936469824844314
Unsaturated,0.25,3.67762814678808+0i,0.945275461119246
Unsaturated,0.5,3.88355054067651+0i,0.945275461119246
Unsaturated,0.75,4.08947170940495+0i,0.945275461119246
Unsaturated,0.95,4.43544813147569+0i,0.945275461119246
Ripple,0.25,3.0836521684518+0i,0.931394160297716
Ripple,0.5,3.2313450468928+0i,0.931394160297716
Ripple,0.75,3.37903781744596+0i,0.931394160297716
Ripple,0.95,3.62718316975181+0i,0.931394160297716
