Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,1.53185851465641+0i,0.403213190217554
Grow,0.5,1.94863300679331+0i,0.403213190217554
Grow,0.75,2.36537978568255+0i,0.403213190217554
Grow,0.95,3.06555688297034+0i,0.403213190217554
Shrink,0.25,1.03673309054678+0i,0.425914968714713
Shrink,0.5,1.47839716062351+0i,0.425914968714713
Shrink,0.75,1.92006123018599+0i,0.425914968714713
Shrink,0.95,2.66212040883774+0i,0.425914968714713
Delay,0.25,2.59689052739719+0i,0.699241957584013
Delay,0.5,3.01172133031734+0i,0.699241957584013
Delay,0.75,3.42655214125149+0i,0.699241957584013
Delay,0.95,4.12352765748934+0i,0.699241957584013
Heavy,0.25,2.98680060638061+0i,0.614133359323732
Heavy,0.5,3.11205975883672+0i,0.614133359323732
Heavy,0.75,3.23731895231168+0i,0.614133359323732
Heavy,0.95,3.44777284245489+0i,0.614133359323732
Light,0.25,3.7275641628731+0i,0.520465076248389
Light,0.5,3.87620627292572+0i,0.520465076248389
Light,0.75,4.02484854312416+0i,0.520465076248389
Light,0.95,4.27459045960011+0i,0.520465076248389
Fast,0.25,3.68294680077749+0i,0.55413702308039
Fast,0.5,3.73917407688508+0i,0.55413702308039
Fast,0.75,3.79989362098052+0i,0.55413702308039
Fast,0.95,3.99534243255241+0.155118727534422i,0.55413702308039
Saturated,0.25,3.5624685088696+0i,0.940636589494446
Saturated,0.5,3.71315194825424+0i,0.940636589494446
Saturated,0.75,3.86383539749802+0i,0.940636589494446
Saturated,0.95,4.11700537806899+0i,0.940636589494446
Unsaturated,0.25,3.00570417478803+0i,0.507469483946301
Unsaturated,0.5,3.15246200217903+0i,0.507469483946301
Unsaturated,0.75,3.3125016465486+0i,0.507469483946301
Unsaturated,0.95,3.71258811771159+0.40316881844272i,0.507469483946301
Ripple,0.25,2.50024697847261+0i,0.999048191546682
Ripple,0.5,2.53368513912746+0i,0.999048191546682
Ripple,0.75,2.56712067940706+0i,0.999048191546682
Ripple,0.95,2.62329589519384+0i,0.999048191546682
