Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.57253084049455+0i,0.867022808552524
Grow,0.5,3.76901123374443+0i,0.867022808552524
Grow,0.75,3.96549270660884+0i,0.867022808552524
Grow,0.95,4.29562008239241+0i,0.867022808552524
Shrink,0.25,3.71587631705414+0i,0.541897385021654
Shrink,0.5,3.93183746582085+0i,0.541897385021654
Shrink,0.75,4.14779861833569+0i,0.541897385021654
Shrink,0.95,4.51064446401772+0i,0.541897385021654
Delay,0.25,1.99072327835397+0i,0.399723779142081
Delay,0.5,2.5635152999712+0i,0.399723779142081
Delay,0.75,3.13630732146388+0i,0.399723779142081
Delay,0.95,4.09868032461084+0i,0.399723779142081
Heavy,0.25,4.13938746766002+0i,0.664676679143709
Heavy,0.5,4.22963009884806+0i,0.664676679143709
Heavy,0.75,4.31987297132927+0i,0.664676679143709
Heavy,0.95,4.47149638200859+0i,0.664676679143709
Light,0.25,4.23377255968197+0i,0.529325204049623
Light,0.5,4.36785915582848+0i,0.529325204049623
Light,0.75,4.50194575591679+0i,0.529325204049623
Light,0.95,4.72723057740546+0i,0.529325204049623
Fast,0.25,4.03366540340581+0i,0.587628259894974
Fast,0.5,4.09261672894341+0i,0.587628259894974
Fast,0.75,4.15717821333212+0i,0.587628259894974
Fast,0.95,4.30599129181091+0.161655053975974i,0.587628259894974
Saturated,0.25,3.18844416462863+0i,0.945329205654336
Saturated,0.5,3.33811983291636+0i,0.945329205654336
Saturated,0.75,3.48780159170628+0i,0.945329205654336
Saturated,0.95,3.73934624842632+0i,0.945329205654336
Unsaturated,0.25,3.71724125398202+0i,0.907240124601022
Unsaturated,0.5,3.86448739564406+0i,0.907240124601022
Unsaturated,0.75,4.01173359358003+0i,0.907240124601022
Unsaturated,0.95,4.25912898868763+0i,0.907240124601022
Ripple,0.25,3.50937038512381+0i,0.922377180890226
Ripple,0.5,3.65759969731632+0i,0.922377180890226
Ripple,0.75,3.80582949115762+0i,0.922377180890226
Ripple,0.95,4.05488164184574+0i,0.922377180890226
