Condition,resp_porp,stim_val,pr2
Grow,0.25,4.1357782021703+0i,0.936632868538305
Grow,0.5,4.26033641497503+0i,0.936632868538305
Grow,0.75,4.38489461341152+0i,0.936632868538305
Grow,0.95,4.59417047734383+0i,0.936632868538305
Shrink,0.25,3.5340297806583+0i,0.734560607749901
Shrink,0.5,3.76577535626899+0i,0.734560607749901
Shrink,0.75,3.99752225773693+0i,0.734560607749901
Shrink,0.95,4.38690319448663+0i,0.734560607749901
Delay,0.25,3.09664793454039+0i,0.932533415970077
Delay,0.5,3.2423097238859+0i,0.932533415970077
Delay,0.75,3.38797153152055+0i,0.932533415970077
Delay,0.95,3.63270450579738+0i,0.932533415970077
Heavy,0.25,3.2111560474802+0i,0.603898560455525
Heavy,0.5,3.33044886776791+0i,0.603898560455525
Heavy,0.75,3.44972490360056+0i,0.603898560455525
Heavy,0.95,3.65011684494752+0i,0.603898560455525
Light,0.25,3.64008775038294+0i,0.943359475843149
Light,0.5,3.69609157735795+0i,0.943359475843149
Light,0.75,3.75209639472856+0i,0.943359475843149
Light,0.95,3.84620193772603+0i,0.943359475843149
Slow,0.25,4.39628898558382+0i,0.936516112741472
Slow,0.5,4.45321815153457+0i,0.936516112741472
Slow,0.75,4.51014731745695+0i,0.936516112741472
Slow,0.95,4.60579655946572+0i,0.936516112741472
Fast,0.25,4.0112943098948+0i,0.480924599224122
Fast,0.5,4.17826467634145+0i,0.480924599224122
Fast,0.75,4.34523647484891+0i,0.480924599224122
Fast,0.95,4.62578669425026+0i,0.480924599224122
Saturated,0.25,3.82912219938772+0i,0.917895956287046
Saturated,0.5,4.0480369444786+0i,0.917895956287046
Saturated,0.75,4.26694470345328+0i,0.917895956287046
Saturated,0.95,4.63473684775315+0i,0.917895956287046
Unsaturated,0.25,3.48094879694943+0i,0.910439287538836
Unsaturated,0.5,3.62772556720774+0i,0.910439287538836
Unsaturated,0.75,3.7745024161976+0i,0.910439287538836
Unsaturated,0.95,4.02110943984473+0i,0.910439287538836
Ripple,0.25,2.86895478404811+0i,0.604370962325894
Ripple,0.5,2.93525054683699+0i,0.604370962325894
Ripple,0.75,3.00737108599847+0i,0.604370962325894
Ripple,0.95,3.19721138014498+0.182315190151604i,0.604370962325894
