Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.18851902450585,0.194683529070945
Grow,0.5,3.57172289238444,0.194683529070945
Grow,0.75,3.95492673935981,0.194683529070945
Grow,0.95,4.598765020844,0.194683529070945
Shrink,0.25,3.59553032488089,0.761739912597002
Shrink,0.5,3.89026491411606,0.761739912597002
Shrink,0.75,4.18499950353149,0.761739912597002
Shrink,0.95,4.680196016197,0.761739912597002
Delay,0.25,3.22769472643877,0.241765655371522
Delay,0.5,3.72304652414784,0.241765655371522
Delay,0.75,4.21839835719539,0.241765655371522
Delay,0.95,5.05066119983656,0.241765655371522
Heavy,0.25,4.11461708752872,0.914948703670057
Heavy,0.5,4.17061357726834,0.914948703670057
Heavy,0.75,4.22660835033083,0.914948703670057
Heavy,0.95,4.320686584393,0.914948703670057
Light,0.25,4.00698694615837,0.582273284402276
Light,0.5,4.14251625721629,0.582273284402276
Light,0.75,4.27803496072305,0.582273284402276
Light,0.95,4.50571920278296,0.582273284402276
Fast,0.25,4.03611540843425,0.932441569930128
Fast,0.5,4.09249796769388,0.932441569930128
Fast,0.75,4.14888055353218,0.932441569930128
Fast,0.95,4.24361166214422,0.932441569930128
Saturated,0.25,2.99822102350464,0.823062438273244
Saturated,0.5,3.1379260057417,0.823062438273244
Saturated,0.75,3.27763094439926,0.823062438273244
Saturated,0.95,3.51235539758353,0.823062438273244
Unsaturated,0.25,2.90320779752087,0.961145980931685
Unsaturated,0.5,3.10516248447365,0.961145980931685
Unsaturated,0.75,3.30712280223443,0.961145980931685
Unsaturated,0.95,3.64649859617566,0.961145980931685
Ripple,0.25,3.50937038512381,0.922377180890226
Ripple,0.5,3.65759969731632,0.922377180890226
Ripple,0.75,3.80582949115762,0.922377180890226
Ripple,0.95,4.05488164184574,0.922377180890226
