Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,2.64257034934115,0.77109701012112
Grow,0.5,2.93496891591853,0.77109701012112
Grow,0.75,3.22736741451965,0.77109701012112
Grow,0.95,3.71863891431762,0.77109701012112
Shrink,0.25,3.60880204230633,0.664487704190902
Shrink,0.5,3.83273963519563,0.664487704190902
Shrink,0.75,4.05667573703531,0.664487704190902
Shrink,0.95,4.4329196649386,0.664487704190902
Delay,0.25,4.40784963849437,0.93174168365062
Delay,0.5,4.54420955437212,0.93174168365062
Delay,0.75,4.68056947024987,0.93174168365062
Delay,0.95,4.90967374555922,0.93174168365062
Heavy,0.25,3.83970749710432,0.343615798753297
Heavy,0.5,4.03416649503455,0.343615798753297
Heavy,0.75,4.22862547852609,0.343615798753297
Heavy,0.95,4.55534458552477,0.343615798753297
Light,0.25,4.04637912254077,0.752137969160183
Light,0.5,4.15108998522871,0.752137969160183
Light,0.75,4.25580082400757,0.752137969160183
Light,0.95,4.431730095193,0.752137969160183
Fast,0.25,4.42605100783264,0.935576076263625
Fast,0.5,4.50016983526721,0.935576076263625
Fast,0.75,4.57428871108024,0.935576076263625
Fast,0.95,4.69881962574408,0.935576076263625
Saturated,0.25,2.29252274108076,0.375084121216387
Saturated,0.5,2.74455404552081,0.375084121216387
Saturated,0.75,3.19659161945239,0.375084121216387
Saturated,0.95,3.95614395820601,0.375084121216387
Unsaturated,0.25,3.77988203839859,0.876699541124641
Unsaturated,0.5,4.0185086663693,0.876699541124641
Unsaturated,0.75,4.25712880372421,0.876699541124641
Unsaturated,0.95,4.65804094751131,0.876699541124641
Ripple,0.25,3.6125525507444,0.942087415685974
Ripple,0.5,3.76351233378757,0.942087415685974
Ripple,0.75,3.91448516124697,0.942087415685974
Ripple,0.95,4.16826498863266,0.942087415685974
