Condition,prob,my_thresholds,Mcf_pR
Fast,0.25,2.13638652819123,0.386364223867191
Fast,0.5,2.47654848555914,0.386364223867191
Fast,0.75,2.81671673276198,0.386364223867191
Fast,0.95,3.38830796742828,0.386364223867191
Grow,0.25,2.78175798185569,0.8849903402947
Grow,0.5,2.99128254386085,0.8849903402947
Grow,0.75,3.20080755224644,0.8849903402947
Grow,0.95,3.55284397317169,0.8849903402947
Plant,0.25,1.87789131703738,0.886753156045564
Plant,0.5,1.91166938458596,0.886753156045564
Plant,0.75,1.94542690884453,0.886753156045564
Plant,0.95,2.00213150596704,0.886753156045564
Saturated,0.25,1.58112413083742,0.238610864416462
Saturated,0.5,2.15842406692425,0.238610864416462
Saturated,0.75,2.73572408075818,0.238610864416462
Saturated,0.95,3.70567201600564,0.238610864416462
Shrink,0.25,2.22302621520963,0.999973539714649
Shrink,0.5,2.25563850383787,0.999973539714649
Shrink,0.75,2.28825077370346,0.999973539714649
Shrink,0.95,2.34304408013887,0.999973539714649
Slow,0.25,2.81863871229396,0.909857436730536
Slow,0.5,2.94917429517818,0.909857436730536
Slow,0.75,3.07970535157222,0.909857436730536
Slow,0.95,3.29901345738786,0.909857436730536
Unsaturated,0.25,3.82096213725668,0.932137539339359
Unsaturated,0.5,3.89820454803115,0.932137539339359
Unsaturated,0.75,3.97544695777007,0.932137539339359
Unsaturated,0.95,4.10522531949285,0.932137539339359
