Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,3.1921135321332,0.768460565327969
Grow,0.5,3.42308384426851,0.768460565327969
Grow,0.75,3.65405405916283,0.768460565327969
Grow,0.95,4.04211733040404,0.768460565327969
Shrink,0.25,3.59806816053007,0.834233716964526
Shrink,0.5,3.8049717252627,0.834233716964526
Shrink,0.75,4.01187477780813,0.834233716964526
Shrink,0.95,4.35950136533748,0.834233716964526
Delay,0.25,2.79670136260883,0.5873561514879
Delay,0.5,3.04672522768445,0.5873561514879
Delay,0.75,3.29675046427034,0.5873561514879
Delay,0.95,3.71684183254177,0.5873561514879
Heavy,0.25,3.6142462832326,0.475130087495944
Heavy,0.5,3.74187409580466,0.475130087495944
Heavy,0.75,3.86950190988503,0.475130087495944
Heavy,0.95,4.08393501547235,0.475130087495944
Light,0.25,3.36334449909545,0.482680718766452
Light,0.5,3.65317726821443,0.482680718766452
Light,0.75,3.94301591043222,0.482680718766452
Light,0.95,4.4300422175834,0.482680718766452
Fast,0.25,3.85249389004926,0.742445598649146
Fast,0.5,3.97252754592243,0.742445598649146
Fast,0.75,4.09256272984894,0.742445598649146
Fast,0.95,4.29425359847328,0.742445598649146
Saturated,0.25,3.11562394660466,0.750724017583906
Saturated,0.5,3.38915551855338,0.750724017583906
Saturated,0.75,3.66268758741582,0.750724017583906
Saturated,0.95,4.1222656746149,0.750724017583906
Unsaturated,0.25,3.20265471908581,0.891194942907418
Unsaturated,0.5,3.43766626153706,0.891194942907418
Unsaturated,0.75,3.67267764919253,0.891194942907418
Unsaturated,0.95,4.06753056800496,0.891194942907418
Ripple,0.25,2.4120750496105,0.831080174754804
Ripple,0.5,2.70553670329341,0.831080174754804
Ripple,0.75,2.99899834750734,0.831080174754804
Ripple,0.95,3.49205618281769,0.831080174754804
