Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,2.65574188635721,0.671188455273697
Grow,0.5,3.04871855048462,0.671188455273697
Grow,0.75,3.44173051034088,0.671188455273697
Grow,0.95,4.10238221459582,0.671188455273697
Shrink,0.25,3.09321993805211,0.955396354832786
Shrink,0.5,3.2154661096879,0.955396354832786
Shrink,0.75,3.33769447095012,0.955396354832786
Shrink,0.95,3.54304455571277,0.955396354832786
Delay,0.25,2.00934328554056,0.964518747015444
Delay,0.5,2.14256250902304,0.964518747015444
Delay,0.75,2.27578058515938,0.964518747015444
Delay,0.95,2.49960550791236,0.964518747015444
Heavy,0.25,2.39850091307293,0.361210868352017
Heavy,0.5,2.79844771342899,0.361210868352017
Heavy,0.75,3.1983946674657,0.361210868352017
Heavy,0.95,3.8703645489309,0.361210868352017
Light,0.25,2.9752614693296,0.942855792976409
Light,0.5,3.06204803662862,0.942855792976409
Light,0.75,3.1488346044337,0.942855792976409
Light,0.95,3.29464852972385,0.942855792976409
Fast,0.25,2.55553072555107,0.552896324644814
Fast,0.5,2.57345206305067,0.552896324644814
Fast,0.75,2.59237508913729,0.552896324644814
Fast,0.95,2.64599805815458,0.552896324644814
Saturated,0.25,2.49934858514814,0.319515629829167
Saturated,0.5,2.9658844483865,0.319515629829167
Saturated,0.75,3.43242031935828,0.319515629829167
Saturated,0.95,4.21626782027095,0.319515629829167
Unsaturated,0.25,0.619988947409582,0.38140476262676
Unsaturated,0.5,1.35500225636091,0.38140476262676
Unsaturated,0.75,2.08996721791829,0.38140476262676
Unsaturated,0.95,3.32478728517514,0.38140476262676
Ripple,0.25,3.77988205661761,0.876699642430169
Ripple,0.5,4.01850867083678,0.876699642430169
Ripple,0.75,4.25712879444053,0.876699642430169
Ripple,0.95,4.65804091512392,0.876699642430169
