Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
5,3,0.386364223867191,Fast,2.13638652819123,0.25,1,2.13638652819123,0.4,7.46878057318489,0.02987,0.02987,0,1.02987,1.4
5,3,0.386364223867191,Fast,2.47654848555914,0.5,2,2.47654848555914,0.4,10.9001200173609,0.0436,0.0436,0,1.0436,1.4
5,3,0.386364223867191,Fast,2.81671673276198,0.75,3,2.81671673276198,0.4,15.7218581150024,0.06288,0.06288,0,1.06288,1.4
5,3,0.386364223867191,Fast,3.38830796742828,0.95,4,3.38830796742828,0.4,28.6157989553432,0.11446,0.11446,0,1.11446,1.4
5,3,0.8849903402947,Grow,2.78175798185569,0.25,1,2.78175798185569,0.15,15.1473828169067,0.02272,0.02272,0,0.02272,0.15
5,3,0.8849903402947,Grow,2.99128254386085,0.5,2,2.99128254386085,0.15,18.9112031137235,0.02836,0.02836,0,0.02836,0.15
5,3,0.8849903402947,Grow,3.20080755224644,0.75,3,3.20080755224644,0.15,23.5523494984645,0.03532,0.03532,0,0.03532,0.15
5,3,0.8849903402947,Grow,3.55284397317169,0.95,4,3.55284397317169,0.15,33.9124665503636,0.05086,0.05086,0,0.05086,0.15
5,3,0.886753156045564,Plant,1.87789131703738,0.25,1,1.87789131703738,0.04201,5.5397001581302,0.00232,0.00232,0,0.00232,0.04201
5,3,0.886753156045564,Plant,1.91166938458596,0.5,2,1.91166938458596,0.04201,5.76437171602314,0.00242,0.00242,0,0.00242,0.04201
5,3,0.886753156045564,Plant,1.94542690884453,0.75,3,1.94542690884453,0.04201,5.99661813571673,0.00251,0.00251,0,0.00251,0.04201
5,3,0.886753156045564,Plant,2.00213150596704,0.95,4,2.00213150596704,0.04201,6.40482271344338,0.00269,0.00269,0,0.00269,0.04201
5,3,0.238610864416462,Saturated,1.58112413083742,0.25,1,1.58112413083742,25.97,3.86041648546026,1.00255,1.00255,0,1.00255,25.97
5,3,0.238610864416462,Saturated,2.15842406692425,0.5,2,2.15842406692425,25.97,7.65748328783621,1.98864,1.98864,0,1.98864,25.97
5,3,0.238610864416462,Saturated,2.73572408075818,0.75,3,2.73572408075818,25.97,14.4209053752248,3.7451,3.7451,0,3.7451,25.97
5,3,0.238610864416462,Saturated,3.70567201600564,0.95,4,3.70567201600564,25.97,39.6773739802549,10.30421,10.30421,0,10.30421,25.97
5,3,0.999973539714649,Shrink,2.22302621520963,0.25,1,2.22302621520963,-0.15,8.23523643341859,-0.01235,-0.01235,0,-0.01235,-0.15
5,3,0.999973539714649,Shrink,2.25563850383787,0.5,2,2.25563850383787,-0.15,8.54138357564254,-0.01281,-0.01281,0,-0.01281,-0.15
5,3,0.999973539714649,Shrink,2.28825077370346,0.75,3,2.28825077370346,-0.15,8.85767927933035,-0.01328,-0.01328,0,-0.01328,-0.15
5,3,0.999973539714649,Shrink,2.34304408013887,0.95,4,2.34304408013887,-0.15,9.41288602608099,-0.01411,-0.01411,0,-0.01411,-0.15
5,3,0.909857436730536,Slow,2.81863871229396,0.25,1,2.81863871229396,-0.56,15.754028089149,-0.08822,-0.08822,0,0.91178,0.44
5,3,0.909857436730536,Slow,2.94917429517818,0.5,2,2.94917429517818,-0.56,18.0901843614298,-0.1013,-0.1013,0,0.8987,0.44
5,3,0.909857436730536,Slow,3.07970535157222,0.75,3,3.07970535157222,-0.56,20.7519922615545,-0.11621,-0.11621,0,0.88379,0.44
5,3,0.909857436730536,Slow,3.29901345738786,0.95,4,3.29901345738786,-0.56,26.0859043366066,-0.14608,-0.14608,0,0.85392,0.44
5,3,0.932137539339359,Unsaturated,3.82096213725668,0.25,1,3.82096213725668,-25.97,44.6481069435994,-11.59511,-11.59511,0,-11.59511,-25.97
5,3,0.932137539339359,Unsaturated,3.89820454803115,0.5,2,3.89820454803115,-25.97,48.3138289614304,-12.5471,-12.5471,0,-12.5471,-25.97
5,3,0.932137539339359,Unsaturated,3.97544695777007,0.75,3,3.97544695777007,-25.97,52.2739227789575,-13.57553,-13.57553,0,-13.57553,-25.97
5,3,0.932137539339359,Unsaturated,4.10522531949285,0.95,4,4.10522531949285,-25.97,59.65641007955,-15.49276,-15.49276,0,-15.49276,-25.97
