TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
37,2,1,10,1210202,Slow,Nature,1,0,-0.1174405,123013438,123014529,1.090922,1,20.9715178571429,3.08974697172709,0.1174405,-0.56,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
38,2,1,11,1210202,Slow,Nature,0,1,-0.0939524,123023103,123024926,1.823254,1,16.7772142857143,2.87791754096669,0.0939524,-0.56,0.0939524,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
39,2,1,12,1210202,Slow,Nature,1,1,-0.1174405,123033587,123034397,0.8093826,1,20.9715178571429,3.08974697172709,0.1174405,-0.56,0.1174405,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
40,2,1,13,1210202,Slow,Nature,1,0,-0.0939524,123043044,123043944,0.900582,1,16.7772142857143,2.87791754096669,0.0939524,-0.56,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
41,2,1,14,1210202,Slow,Nature,0,1,-0.07516193,123052548,123053659,1.111314,1,13.4217732142857,2.66873909338727,0.07516193,-0.56,0.07516193,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
45,3,1,1,1220202,Fast,Nature,1,0,0.4,123137494,123139048,1.553623,1,100,4.61512051684126,0.4,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
46,3,1,2,1220202,Fast,Nature,1,0,0.32,123147667,123148850,1.182966,1,80,4.39444915467244,0.32,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
47,3,1,3,1220202,Fast,Nature,1,0,0.256,123157462,123158668,1.206578,1,64,4.17438726989564,0.256,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
48,3,1,4,1220202,Fast,Nature,1,0,0.2048,123207298,123208458,1.160492,1,51.2,3.95508249488859,0.2048,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
49,3,1,5,1220202,Fast,Nature,1,0,0.16384,123217057,123218157,1.099903,1,40.96,3.7367167835281,0.16384,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
